Run,K,posterior,file
20,13,-13481.43071975889,paper/bayesianNMF//pcawg_brca.20.rds
14,13,-13482.900913046673,paper/bayesianNMF//pcawg_brca.14.rds
3,14,-13879.256323790032,paper/bayesianNMF//pcawg_brca.3.rds
8,14,-13980.186397149067,paper/bayesianNMF//pcawg_brca.8.rds
18,15,-14208.742754524581,paper/bayesianNMF//pcawg_brca.18.rds
12,15,-14212.198381532162,paper/bayesianNMF//pcawg_brca.12.rds
13,15,-14218.327880046752,paper/bayesianNMF//pcawg_brca.13.rds
9,15,-14221.33654585158,paper/bayesianNMF//pcawg_brca.9.rds
10,15,-14221.74220450845,paper/bayesianNMF//pcawg_brca.10.rds
2,15,-14229.04225343576,paper/bayesianNMF//pcawg_brca.2.rds
11,15,-14232.707494554557,paper/bayesianNMF//pcawg_brca.11.rds
5,15,-14235.023136448364,paper/bayesianNMF//pcawg_brca.5.rds
6,15,-14238.73360582178,paper/bayesianNMF//pcawg_brca.6.rds
1,15,-14259.25965695077,paper/bayesianNMF//pcawg_brca.1.rds
7,15,-14334.513048630357,paper/bayesianNMF//pcawg_brca.7.rds
15,16,-14603.115175310517,paper/bayesianNMF//pcawg_brca.15.rds
19,16,-14712.99807645119,paper/bayesianNMF//pcawg_brca.19.rds
4,16,-14732.01230457899,paper/bayesianNMF//pcawg_brca.4.rds
17,17,-15098.230327010282,paper/bayesianNMF//pcawg_brca.17.rds
16,17,-15122.315211541116,paper/bayesianNMF//pcawg_brca.16.rds
